Wall time,Step,Value
1712495519,1142784,570.2962036
1712495721,1144832,579.4089355
1712495927,1146880,595.9347534
1712496127,1148928,613.4651489
1712496320,1150976,604.9456787
1712496550,1153024,609.1025391
1712496769,1155072,581.3563232
1712496971,1157120,586.8082886
1712497160,1159168,582.1443481
1712497356,1161216,570.7964478
1712497558,1163264,584.2941284
1712497741,1165312,562.6185913
1712497940,1167360,563.9115601
1712498140,1169408,564.3215332
1712498342,1171456,568.9262695
1712498537,1173504,577.4457397
1712498727,1175552,573.192688
1712498928,1177600,584.8162842
1712499135,1179648,578.7243042
1712499342,1181696,578.8186646
1712499566,1183744,597.1312256
1712499772,1185792,612.7200317
1712499997,1187840,627.2328491
1712500224,1189888,619.9746094
1712500399,1191936,606.2321167
1712500574,1193984,581.9771729
1712500790,1196032,570.479187
1712501023,1198080,569.0628662
1712501222,1200128,574.5186768
1712501422,1202176,590.8600464
1712501609,1204224,585.3630371
1712501795,1206272,573.7388306
1712501986,1208320,583.192627
1712502172,1210368,562.6420898
1712502394,1212416,582.5038452
1712502591,1214464,577.0996094
1712502778,1216512,568.2150269
1712502968,1218560,579.5460205
1712503159,1220608,572.4578247
1712503356,1222656,580.5469971
1712503548,1224704,604.1407471
1712503738,1226752,609.0977173
1712503946,1228800,614.3679199
1712504152,1230848,635.0509644
1712504338,1232896,621.1341553
1712504517,1234944,618.4678345
1712504723,1236992,618.0817261
1712504984,1239040,609.4996338
1712505207,1241088,591.2880249
1712505420,1243136,602.9088745
1712505624,1245184,618.0669556
1712505839,1247232,621.3692017
1712506031,1249280,622.2045288
1712506225,1251328,623.8768311
1712506422,1253376,615.3642578
1712506611,1255424,614.8233643
1712506814,1257472,618.5064697
1712506999,1259520,623.159729
1712507204,1261568,634.4442749
1712507400,1263616,638.2601318
1712507590,1265664,636.3438721
1712507783,1267712,622.2977295
1712507986,1269760,620.9933472
1712508193,1271808,627.628479
1712508426,1273856,634.135376
1712508632,1275904,640.6873169
1712508820,1277952,647.8443604
1712509020,1280000,641.8250122
1712509240,1282048,653.0118408
1712509482,1284096,652.3651123
1712509701,1286144,655.8532104
1712509896,1288192,632.7693481
1712510124,1290240,628.6141968
1712510336,1292288,607.8544312
1712510554,1294336,620.5734863
1712510770,1296384,626.793457
1712510992,1298432,662.8300781
1712511196,1300480,659.9359741
1712511401,1302528,670.1184082
1712511603,1304576,660.0162964
1712511815,1306624,643.350769
1712512028,1308672,633.9003296
1712512248,1310720,632.0535278
1712512484,1312768,631.7033691
1712512688,1314816,637.3141479
1712512856,1316864,596.880188
1712513051,1318912,596.3787842
1712513262,1320960,602.1929321
1712513485,1323008,596.161438
1712513694,1325056,604.4733276
1712513896,1327104,612.4990234
1712514106,1329152,624.1129761
1712514316,1331200,617.2089844
1712514534,1333248,615.1190186
1712514743,1335296,643.854126
1712514950,1337344,641.7546997
1712515147,1339392,652.1650391
1712515335,1341440,640.7788696
1712515536,1343488,646.1288452
1712515749,1345536,647.9776001
1712515965,1347584,639.8161011
1712516178,1349632,634.1030884
1712516368,1351680,641.2567139
1712516564,1353728,630.2891846
1712516767,1355776,630.40271
1712516958,1357824,633.8251343
1712517153,1359872,638.2439575
1712517360,1361920,651.2957153
1712517557,1363968,641.5921021
1712517747,1366016,634.0458374
1712517916,1368064,594.3218994
1712518105,1370112,573.1780396
1712518301,1372160,573.6746216
1712518496,1374208,581.7831421
1712518686,1376256,608.2512207
1712518879,1378304,614.0961914
1712519077,1380352,616.538208
1712519255,1382400,593.6462402
1712519433,1384448,576.1213379
1712519620,1386496,565.5714722
1712519817,1388544,570.4542236
1712520007,1390592,574.4434814
1712520198,1392640,587.5943604
1712520389,1394688,595.3235474
1712520586,1396736,590.7172852
1712520775,1398784,596.5177612
1712520965,1400832,599.1402588
1712521158,1402880,603.2868652
1712521351,1404928,602.5847168
1712521544,1406976,596.4362793
1712521740,1409024,601.842041
1712521935,1411072,605.508606
1712522135,1413120,607.2654419
1712522354,1415168,619.1989746
1712522572,1417216,626.432312
1712522787,1419264,633.12146
1712523013,1421312,642.0571899
1712523235,1423360,630.0930786
1712523463,1425408,619.1522827
1712523681,1427456,604.3866577
1712523905,1429504,605.9277954
1712524116,1431552,600.4179688
1712524326,1433600,605.3822632
1712524523,1435648,594.8631592
1712524742,1437696,596.6481934
1712524968,1439744,602.668335
1712525193,1441792,604.8029785
1712525414,1443840,628.2631226
1712525632,1445888,634.1329956
1712525847,1447936,641.7138062
1712526076,1449984,653.7618408
1712526289,1452032,649.4240723
1712526484,1454080,630.0130615
1712526695,1456128,627.5126343
1712526890,1458176,590.8693237
1712527099,1460224,583.6581421
1712527296,1462272,583.6842041
1712527503,1464320,586.0267944
1712527712,1466368,594.1784668
1712527927,1468416,601.8145142
1712528135,1470464,609.989502
1712528350,1472512,614.0941162
1712528561,1474560,616.0620728
1712528783,1476608,621.3864746
1712528999,1478656,629.5247192
1712529218,1480704,628.6357422
1712529438,1482752,638.9505615
1712529659,1484800,638.5982056
1712529870,1486848,637.3988037
1712530076,1488896,625.0371704
1712530288,1490944,619.0317383
1712530500,1492992,623.5940552
1712530719,1495040,612.7931519
1712530924,1497088,623.2156372
1712531134,1499136,617.9033203
1712531347,1501184,615.8233032
1712531563,1503232,631.7974854
1712531781,1505280,628.078125
1712531993,1507328,622.2538452
1712532211,1509376,626.9801636
1712532413,1511424,604.9727783
1712532631,1513472,613.8328247
1712532850,1515520,616.2568359
1712533054,1517568,608.2819214
1712533271,1519616,615.3378296
1712533484,1521664,616.2231445
1712533691,1523712,613.7883301
1712533902,1525760,619.796814
1712534117,1527808,633.2186279
1712534341,1529856,636.3414307
1712534586,1531904,616.7576904
1712534817,1533952,627.1568604
1712535043,1536000,620.0187988
